17

0	0.24	7.33	126	100.00
1	0.7	7.3	126	87.16
2	0.94	7.28	126	2.69
3	1.7	7.32	126	0.15
4	2.45	7.28	117.6	0.00
5	3.05	7.36	117.6	5.37
6	4.5	7.3	112	8.00
7	6	7.29	112	16.42
8	7.1	7.22	106.4	21.00
9	8	7.37	106.4	32.00
10	8.05	7.46	103.6	33.00
11	8.5	7.61	103.6	32.54
12	8.65	7.66	103.6	33.28
13	8.7	7.77	103.6	34.00
14	9.1	7.83	100.8	38.00
15	9.45	7.89	100.8	41.00
16	9.5	7.84	100.8	41.20
